пРОДАЮ КОКОН ДЛЯ НОВОРОЖДЕННОГО,450 грн.,"Кривой Рог, Дзержинский",https://www.olx.ua/obyavlenie/prodayu-kokon-dlya-novorozhdennogo-IDG8bnA.html?sd=1#9a1d3fc60c
нОСОЧКИ (НОСКИ) ИЗ сша ДЛЯ НОВОРОЖДЕННЫХ (МЛАДЕНЦЕВ),20 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/nosochki-noski-iz-ssha-dlya-novorozhdennyh-mladentsev-IDBsBtP.html#9a1d3fc60c
кОКОН ДЛЯ НОВОРОЖДЕННЫХ,250 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/kokon-dlya-novorozhdennyh-IDF56fW.html#9a1d3fc60c
пРОДАМ МАХРОВЫЙ КОМБИНЕЗОН НА НОВОРОЖДЕННОГО,100 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/prodam-mahrovyy-kombinezon-na-novorozhdennogo-IDFcXFW.html#9a1d3fc60c
сПАЛЬНЫЙ МЕШОК ДЛЯ НОВОРОЖДЕННЫХ Р.0-6,65 грн.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/obyavlenie/spalnyy-meshok-dlya-novorozhdennyh-r-0-6-IDG3aVT.html?sd=1#9a1d3fc60c
"нОВЫЙ НАБОР НА НОВОРОЖДЕННОГО, Р. 50-56СМ",120 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/novyy-nabor-na-novorozhdennogo-r-50-56sm-IDFZlU6.html#9a1d3fc60c
оДЕЖДА ДЛЯ НОВОРОЖДЕННЫХ. пАКЕТОМ cARTER’S h&m BABY CLUB f&f,250 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/odezhda-dlya-novorozhdennyh-paketom-carters-h-m-baby-club-f-f-IDGFSYg.html?sd=1#9a1d3fc60c
вЕСЫ ДЛЯ НОВОРОЖДЕННЫХ гАММА,600 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/vesy-dlya-novorozhdennyh-gamma-IDGdcIj.html#9a1d3fc60c
"пАКЕТ ВЕЩЕЙ ДЛЯ НОВОРОЖДЕННЫХ, 0-3 МЕС",180 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/paket-veschey-dlya-novorozhdennyh-0-3-mes-IDDWCJY.html#9a1d3fc60c
пРОДАМ КОНВЕРТ ДЛЯ НОВОРОЖДЕННЫХ,550 грн.,"Кривой Рог, Дзержинский",https://www.olx.ua/obyavlenie/prodam-konvert-dlya-novorozhdennyh-IDGFM1X.html?sd=1#9a1d3fc60c
кОКОН ГНЕЗДО ПОЗИЦИОНЕР ДЛЯ НОВОРОЖДЕННОГО,350 грн.,"Кривой Рог, Ингулецкий",https://www.olx.ua/obyavlenie/kokon-gnezdo-pozitsioner-dlya-novorozhdennogo-IDFIr8l.html#9a1d3fc60c
"нАБОР ДЛЯ НОВОРОЖДЕННОГО, 0-3МЕСЯЦА",100 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/nabor-dlya-novorozhdennogo-0-3mesyatsa-IDGDw44.html?sd=1#9a1d3fc60c
еРГО РЮКЗАК eRGO bABY С ВКЛАДЫШЕМ ДЛЯ НОВОРОЖДЕННЫХ,550 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/ergo-ryukzak-ergo-baby-s-vkladyshem-dlya-novorozhdennyh-IDGFBcY.html?sd=1#9a1d3fc60c
